Train SISNR,Test SISNR,Train CL Loss
-12.656650051474571,-3.9660320043563844,-0.5275371363386512
-3.8694344386458397,-1.006603412826856,-0.5491622313857079
-2.0715652592480183,-0.0063045784831047055,-0.5840398538857698
-1.3104960769414902,0.4722084367026885,-0.6211694236844778
-0.8948022252880037,0.9101996863881747,-0.6539110746234655
-0.6824570917524397,1.3030131397147973,-0.6751437168568373
-0.3227534748148173,1.631968120733897,-0.7021247986704111
0.055509599507786334,2.0328020453453064,-0.7222798932343721
0.4940939595689997,2.1816505511601765,-0.7474977802485228
0.7400356526486576,2.4581712891658145,-0.7675663270056248
0.97322085686028,2.5140480652451513,-0.7835330404341221
1.2008600998669863,2.4910061289866765,-0.8020371180027723
1.399996797554195,3.016630760828654,-0.8158372119069099
1.6591089107096195,3.1192328592141467,-0.8304663840681314
1.9670348763465881,3.387454930941264,-0.8457724303007126
2.1614730283617973,3.5306087851524355,-0.8581205476075411
2.347525455057621,3.806814126173655,-0.8680396154522896
2.6873456463217735,3.867954381306966,-0.8799266386777163
2.914178490638733,4.064873305956523,-0.8870065938681364
3.0745415464043617,4.325138008594513,-0.8908686153590679
3.2150500118732452,4.593775029977163,-0.8948353826999664
3.512458123266697,4.689961644013723,-0.8990555759519339
3.489197440445423,4.692726095517476,-0.9019165933132172
3.702925644814968,4.890600268046061,-0.9055596757680178
3.799545831978321,4.915710043907166,-0.9091914501041174
3.865205004811287,4.992334032058716,-0.9105165135115385
4.070860102772713,5.1647026856740315,-0.9141885284334421
4.073545545339584,5.0916803995768225,-0.9152399487793446
4.143365234136581,5.215148977438608,-0.9171705804765224
4.2707019075751305,5.381826456387838,-0.918989883735776
4.305389985442162,5.5383925318717955,-0.9201669506728649
4.351113326847553,5.41863276163737,-0.9224032387137413
4.488099128007889,5.55201309521993,-0.9241074156016111
4.445196375250816,5.6622604608535765,-0.9231557957828045
4.572285406291485,5.741195432345072,-0.9236125871539116
4.638597220182419,5.842367124557495,-0.9247536901384592
4.708298221230507,5.810950303077698,-0.9273890275508165
4.739606335759163,5.719958662986755,-0.9284082874655724
4.822611019015312,6.101821986834208,-0.9279393255710602
4.921972915530205,5.780213777224223,-0.9297184031456709
4.8650564551353455,6.005550344785054,-0.9313287939876318
4.9495358020067215,5.931900103886922,-0.9305410757660866
5.053519934415817,6.181813971201579,-0.93282968737185
5.239486813545227,5.901877284049988,-0.9350317772477865
5.113979637622833,6.057323789596557,-0.9341790284961462
5.167834535241127,6.24529664516449,-0.9349879659712315
5.174040108919144,6.178031349182129,-0.9352505095303059
5.319090008735657,6.34073265393575,-0.937054356560111
5.232125177979469,6.293469532330831,-0.9360083863139153
5.296393349766731,6.166224837303162,-0.9360841754823923
3.29782600607723,5.545929567019145,-0.8142175432294607
4.899178385734558,6.0858080863952635,-0.7621034514158964
